"productID","name","description"
"40a300aa-333d-409c-b76f-1348d7bed000","DESODORANTE SKALA MEN ACTIVE 60 ML","DESODORANTE SKALA MEN ACTIVE 60 ML"
"fb5a8844-66fe-4fda-919a-2055e1d50b84","AZOTEA VINO CABERNET SAUVIGNON","AZOTEA VINO CABERNET SAUVIGNON"
"dbace1c5-9a1f-4f0f-873e-1e0f60e0257b","CHEETOS HORNEADOS BOLIQUESO 34G","CHEETOS HORNEADOS BOLIQUESO 34G"
"b71f4c52-1102-47c8-96ee-a1c65903d0f0","CLUB COLOMBIA DORADA LATA 269CM","CLUB COLOMBIA DORADA LATA 269CM"
"40f8370b-83b6-4159-a65e-cccfe73060b1","CANETELLY MOSCATO ROSADO 750ML 1463","CANETELLY MOSCATO ROSADO 750ML 1463"
"09a423d8-c65c-4fc2-b03a-1452de159138","COSTEÑITA 175CM BOTELLA","COSTEÑITA 175CM BOTELLA"
"640439bf-fd1b-4c6e-8044-22424d51fb00","ARCOR BUTTER TOFFEES CARAMELO BLANDOS RELLENOS SURTIDOS","ARCOR BUTTER TOFFEES CARAMELO BLANDOS RELLENOS SURTIDOS"
"3f109b14-b790-4588-958e-7a5d6d7a8686","FLOTADOR BRAZO BARBIE","FLOTADOR BRAZO BARBIE"
"6770b238-7a68-4a2b-a36e-67e37c0c4d8d","APEROL APERITIVO 1919 1 LITRO","APEROL APERITIVO 1919 1 LITRO"
"65f01963-757a-4ab0-bb7e-a3516ca38d53","ENERGIZER MAX AA2","ENERGIZER MAX AA2"
"896cbe5e-c583-4103-bb91-591ee3637f57","CREMA PARA PEINAR SAVITAL CON FUSION PROTEINAS Y SABILA 22 ML","CREMA PARA PEINAR SAVITAL CON FUSION PROTEINAS Y SABILA 22 ML"
"223d9d0d-50e9-40a9-ae0a-64cdd84de7f0","FOUR LOKO PURPLE LATA 12% ALCOHOL 473ML","FOUR LOKO PURPLE LATA 12% ALCOHOL 473ML"
"fbedcb90-eb7c-418a-b27c-75154502a859","COCTEL DAIQUIRI RON VIEJO DE CALDAS-LATA 295ML","COCTEL DAIQUIRI RON VIEJO DE CALDAS-LATA 295ML"
"45de26a2-54fa-4ee1-a688-87117a181e61","CERVEZA SOL LATA 310ML","CERVEZA SOL LATA 310ML"
"0a346144-b77f-45e3-9ad0-e08498427ebe","COCTEL COCO LOCO LC LA CELEBRACION 14,9%VOL 700ML","COCTEL COCO LOCO LC LA CELEBRACION 14,9%VOL 700ML"
"6b0f7e02-2889-4c94-9591-5364c6f19274","BON YURT BARQUILLOS PIAZZA 169G ID:10434","BON YURT BARQUILLOS PIAZZA 169G ID:10434"
"8558c4ca-3885-4f5b-8cb0-6e8498989bca","CANADA DRY GINGER ALE 300ML","CANADA DRY GINGER ALE 300ML"
"ef6e4652-2817-4623-bb83-ff2cec9b8b91","BESITOS CALEÑOS 28G","BESITOS CALEÑOS 28G"
"1287dcd9-2eab-4aee-8da3-83eb536c69d0","VINO UNDURRAGA BRUT ROSE 750ML","VINO UNDURRAGA BRUT ROSE 750ML"
"d2e710f9-7e67-4d1f-80de-59e6a1ab1e53","FORTIDENT TOTAL PROTECT 76G","FORTIDENT TOTAL PROTECT 76G"
"ef66619c-fd80-4b41-8bfc-f56ac257d4eb","AGUA NIAGARA BOTELLA 500ML","AGUA NIAGARA BOTELLA 500ML"
"ed435864-3c33-4f9e-9cbe-685bcd8bda67","AMSTEL LIGHT BOT. 12OZ. COD: 11564","AMSTEL LIGHT BOT. 12OZ. COD: 11564"
"08419dee-a170-4319-877e-f499f1ebb182","AMPM CEPILLO ADULTO PLUS","AMPM CEPILLO ADULTO PLUS"
"728ee07f-000f-4f5f-a487-edda0a557a89","CIGARRILLO L&M SILVER EVO 10 UNIDADES","CIGARRILLO L&M SILVER EVO 10 UNIDADES"
"ae5f1146-09e6-4a94-95f9-38328d02c05c","FELIPE II - BRANDY DE JEREZ POR 1 LITRO","FELIPE II - BRANDY DE JEREZ POR 1 LITRO"
"e898f2aa-cfdb-4270-9cfd-9299054e01b7","CUTTY SARK WISKY ESCOCES 1LT","CUTTY SARK WISKY ESCOCES 1LT"
"7d7b899e-713a-4291-aa69-20cbf363f00e","DEL VALLE SALPICÓN 500ML","DEL VALLE SALPICÓN 500ML"
"1545595b-dc57-41fa-a777-e4fe75f018d4","BAILEYS ORIGINAL MINIS X3 100ML. COD: 5187","BAILEYS ORIGINAL MINIS X3 100ML. COD: 5187"
"17d56810-8233-4713-8ded-fb219a779fe2","AGUARDIENTE ANTIOQUEÑO TAPA ROJA LITRO","AGUARDIENTE ANTIOQUEÑO TAPA ROJA LITRO"
"10df1ae1-7817-45c1-9b9b-2150ea14d463","SHAMPOO JOHNSON BABY CABELLO OSCURO 100 ML","SHAMPOO JOHNSON BABY CABELLO OSCURO 100 ML"
"4291cc28-4224-4285-bb5a-cc8c00899a24","AXION DE LIMÓN PEQUEÑO ID:6074","AXION DE LIMÓN PEQUEÑO ID:6074"
"1b800c09-6283-4328-89dc-5d5ec78cdd6b","BACARDI CRTA BLANCA MINIATURA 50 ML","BACARDI CRTA BLANCA MINIATURA 50 ML"
"2b52f085-606e-40ae-b4ef-adb77c46c69c","CANETELLI PROSECO VINO 750ML","CANETELLI PROSECO VINO 750ML"
"2a2bdf03-3a36-4018-a95a-85e2d7b14eb4","GALLETA CLUB SOCIAL INTEGRAL TRADICIONAL 24 GR","GALLETA CLUB SOCIAL INTEGRAL TRADICIONAL 24 GR"
"24ac48d7-13ee-4558-bbab-9fb99947ab9b","FLASH POP RING","FLASH POP RING"
"9126f617-edfd-4310-a8cb-a549b111bf74","CUBA LIBRE MOJITO LATA 350ML","CUBA LIBRE MOJITO LATA 350ML"
"4a6e8471-d7e0-4e34-8b01-32e53aaef696","BIANCHI CHOCO SNACKS ARÁNDANOS COD: 13226","BIANCHI CHOCO SNACKS ARÁNDANOS COD: 13226"
"ef1c5c39-01e7-4372-aac7-6f2d7db029e9","BEACH BALDE PLAYA MEDIANO 114569","BEACH BALDE PLAYA MEDIANO 114569"
"970025df-ec63-4983-bb90-d31484f955a9","CHANDON DELICE VINO ESPUMOSO 750ML ID:4654","CHANDON DELICE VINO ESPUMOSO 750ML ID:4654"
"3c59d3c9-3fe6-4e41-9574-db6801e62aa0","ELECTROLÍT MARACUYÁ 625ML","ELECTROLÍT MARACUYÁ 625ML"
"c70b6f5f-e6ec-4165-81a5-76ff70d0679d","FOUR LOKO PONCHE DE FRUTAS EN LATA 12% ALCOHOL 473ML","FOUR LOKO PONCHE DE FRUTAS EN LATA 12% ALCOHOL 473ML"
"11481036-b279-4f35-9ff9-2c1c1c258da1","ALPINA BONYURT ZUCARITAS 1740 GR","ALPINA BONYURT ZUCARITAS 1740 GR"
"c5f07d72-4d03-4477-a329-1adb29fcb208","AGUILA LIGHT BOTELLA 330CM","AGUILA LIGHT BOTELLA 330CM"
"89374b76-f359-452b-b2d9-119b9ea50b26","BALANCE NORMAL 72H CREMA 32G","BALANCE NORMAL 72H CREMA 32G"
"d5ee3b66-7a5f-4f6b-98e5-4f83f0572a1a","CHICLE TRIDENT YERBABUENA 8,5GR","CHICLE TRIDENT YERBABUENA 8,5GR"
"cecbc8cc-5527-4a33-b6ed-826eb91bc925","Producto Uno con Atributos","dfasdasdsasdsadasd"
"2df815e8-4666-4dba-a49a-1995425a6447","BRANDY SOBERANO SOLERA 700ML","BRANDY SOBERANO SOLERA 700ML"
"cbe6c11e-3343-4534-9d18-4a68e71a5da0","CERVEZA HOLLANDIA PREMIUM LATA 330 ML","CERVEZA HOLLANDIA PREMIUM LATA 330 ML"
"83e92e77-316e-45cc-b653-fc68d4b9bf9a","ANI WAFERS FINDIK AROMALI KREMALI GOFRET 150GR","ANI WAFERS FINDIK AROMALI KREMALI GOFRET 150GR"
"24fd368c-dc24-48a8-9173-9c22b3b2cb94","ALCOHOL ANTISEPTICO FLA 375 ML","ALCOHOL ANTISEPTICO FLA 375 ML"
"06e33a5b-f9a0-4d7e-8189-a6074abf30ee","FAMILIA A COLCHA MÁX 134,4G","FAMILIA A COLCHA MÁX 134,4G"
"03275dda-3c72-4c90-a135-0b5a2c3ffe7d","COCADAS 130G COD12715","COCADAS 130G COD12715"
"76dc8873-f95c-4a81-ac6e-3c73f7bc62a6","BAILEYS BIRTHDAY CAKE","BAILEYS BIRTHDAY CAKE"
"b3306c1f-1bc0-4c8c-8d4b-fcc18555c96c","APERITIVO PERRAULT DABOT AMERICANO APERITIF 1LT","APERITIVO PERRAULT DABOT AMERICANO APERITIF 1LT"
"cf651be5-4c4c-4a31-a475-cdd85f35c4b2","CREMA PARA PEINAR SAVITAL CON MULTIVITAMINAS Y SABILA 275ML","CREMA PARA PEINAR SAVITAL CON MULTIVITAMINAS Y SABILA 275ML"
